,Galaxy,re (kpc),rotational velocity,rotational velocity mass (solar mass),star formation rate,star formation density,assymetry,eta average vrot
462,9047-12705,5.875117656298551,0.0,0.7451505,0.0,0.7451505,0.0068716493769644385,20.166350810201465
463,9047-9101,4.590961794805704,0.0,-0.74099994,0.0,-0.74099994,-0.011190795024395206,2.387391539743205
464,9048-12702,6.679348016713958,0.0,-0.8065215,0.0,-0.8065215,-0.005754371795394074,3.1006703464441623
465,9048-12703,8.127586217160239,0.0,-0.017036939,0.0,-0.017036939,-8.209534388714889e-05,8.692337884340697
466,9050-12701,6.0210266056349555,0.0,-0.4422221,0.0,-0.4422221,-0.003882839742454989,3.064137484249503
467,9050-12703,12.15598988639341,0.0,-0.64435035,0.0,-0.64435035,-0.0013880066147990513,3.5036141004906813
468,9085-12702,6.055850436228056,0.0,-0.3280345,0.0,-0.3280345,-0.0028472090461747696,4.597715457994764
469,9085-9102,3.7615504742942347,0.0,-0.75073963,0.0,-0.75073963,-0.016889067992341602,3.5177708287553573
470,9086-12701,9.517980021586368,0.0,-1.606796,0.0,-1.606796,-0.0056457455198503925,7.399597847286294
471,9086-12705,4.923444424355385,0.0,-0.3150404,0.0,-0.3150404,-0.004136931318029841,5.344633173514225
472,9086-6102,3.8058710287299906,0.0,-0.02069295,0.0,-0.02069295,-0.0004547413051860641,12.539496453113317
473,9087-12703,7.2815382058405405,0.0,-0.3224136,0.0,-0.3224136,-0.0019356070992373755,2.9960658355217364
474,9087-9102,5.149793728330358,0.0,-0.5657607,0.0,-0.5657607,-0.006790522838520771,2.4094354215602682
475,9088-12701,12.006907785082944,0.0,0.6986325,0.0,0.6986325,0.0015425404046892316,16.185758767867917
476,9088-12703,7.171094506643662,0.0,-0.74699247,0.0,-0.74699247,-0.004623761862471997,3.564439736942699
477,9089-3704,3.4049201898352197,0.0,-0.14054826,0.0,-0.14054826,-0.0038588840060881273,3.9591887064876197
478,9090-12703,7.58417302626075,0.0,-1.1079166,0.0,-1.1079166,-0.006131132888368569,3.056461956705228
479,9090-1902,2.2897402173824486,0.0,-0.45195678,0.0,-0.45195678,-0.02743939979693031,5.8170182419234315
480,9091-12703,5.687547073212538,0.0,0.034386747,0.0,0.034386747,0.0003383694980524405,6.4606457679476605
481,9091-12704,11.152200993824904,0.0,0.9470152,0.0,0.9470152,0.0024237393445042917,10.217383257714735
